"","chr","coord","pwm","shape","score"
"96","chr10",127509129,15.9210453033447,2.46204352378845,18.6028034841782
"97","chr10",128731064,14.6282024383545,1.0594025850296,14.7999590237997
"98","chr10",59295713,14.4736566543579,0.769960701465607,13.6955651780188
"100","chr10",80747590,15.9431495666504,0.742801249027252,15.0581708405548
"102","chr10",19601684,13.8489046096802,1.52224767208099,15.0995737670638
"104","chr10",71180264,13.8489046096802,1.18670427799225,14.3584134433726
"106","chr10",121767486,13.8489046096802,1.49099242687225,15.0378242500339
"116","chr10",18453573,15.8203325271606,0.831977248191833,15.272813711505
"117","chr10",87552852,16.133373260498,1.88942122459412,18.0272017458617
"118","chr10",67265060,15.6652803421021,1.15231025218964,16.0872484356842
"122","chr10",79960063,13.4804573059082,3.61873459815979,17.3085443188279
"123","chr10",80175684,15.1542434692383,1.09288704395294,15.4186204076306
"124","chr10",81502815,15.2456474304199,2.12732100486755,17.4924619160979
"126","chr10",80145622,14.7474660873413,1.3237738609314,15.5823209976039
"127","chr10",116452947,14.7311038970947,1.03113782405853,14.8223704631449
"135","chr10",110794706,14.3467264175415,3.04733920097351,17.6632935907521
"138","chr10",69367168,14.9029273986816,1.8627917766571,16.7545074333545
"139","chr10",79659008,13.2032508850098,1.02128875255585,13.2659507683521
"141","chr10",76835864,13.8638868331909,1.94488275051117,15.8438274585295
"142","chr10",39170364,12.941032409668,2.04630661010742,15.0722804205663
"143","chr10",43575096,16.149242401123,2.39183759689331,18.7448925334631
"144","chr10",85013626,12.3617458343506,1.81768202781677,14.140360422758
"146","chr10",77130732,15.4151563644409,1.11883974075317,15.7493886678153
"147","chr10",117566388,13.039813041687,1.24016213417053,13.6804708019223
"151","chr10",66853373,13.6178817749023,1.32417404651642,14.4536363501621
"157","chr10",91271341,12.3948278427124,1.89057946205139,14.2904803689141
"161","chr10",3534542,15.6754169464111,1.14941644668579,16.0899008530239
"164","chr10",60779830,14.9506072998047,1.20598351955414,15.5080830858566
"165","chr10",121409803,15.0364675521851,3.64281678199768,18.8842968248557
"169","chr10",118156134,13.0432243347168,1.35868763923645,13.955564076811
"178","chr10",77130766,14.2172899246216,4.44023895263672,18.6543106721445
"183","chr10",75182565,15.4655818939209,1.12710058689117,15.8217098096266
"192","chr10",111503277,11.6306324005127,2.04964280128479,13.766729110786
"193","chr10",80928666,13.0413885116577,1.16189646720886,13.4880156538355
"195","chr10",126386606,12.8365278244019,2.66563844680786,15.7547707093761
"199","chr10",83724820,13.0774784088135,1.21909153461456,13.6671311387923
"208","chr10",86182358,16.4654808044434,0.631521999835968,15.0974366903786
"215","chr10",115323485,14.3900890350342,2.21322131156921,16.754728193892
"220","chr10",22567307,13.3978090286255,2.95564222335815,16.6234371084176
"221","chr10",79775067,13.3978090286255,1.01524651050568,13.4428470585703
"222","chr10",121694737,13.3978090286255,1.31910181045532,14.2221404423594
"228","chr10",3995452,13.6428117752075,1.04141306877136,13.7635917481232
"229","chr10",83785202,13.6428117752075,1.32995879650116,14.4915408747104
"230","chr10",99190946,13.6428117752075,1.64848554134369,15.1306119674529
"239","chr10",59710408,12.7230472564697,1.19945192337036,13.2643587945257
"240","chr10",42842537,13.976616859436,1.32489335536957,14.813987843564
"244","chr10",76455454,14.9371967315674,0.798649489879608,14.2679918515647
"245","chr10",80340244,15.5223865509033,1.41354691982269,16.5525426665389
"246","chr10",7333548,16.050594329834,2.62531113624573,18.9234636539518
"257","chr10",79712604,15.5082244873047,2.0878746509552,17.6993292981186
"259","chr10",94623769,15.2632703781128,2.2149703502655,17.6302608034234
"264","chr10",15300244,14.9759159088135,0.711219191551208,13.9616167838266
"266","chr10",60418295,13.1338443756104,1.38288283348083,14.0987216646751
"272","chr10",81073649,14.0651807785034,1.63943338394165,15.5365916516499
"275","chr10",23116965,14.7542810440063,1.92317366600037,16.7008112377197
"276","chr10",20290544,12.1407651901245,2.21896052360535,14.5131127404152
"277","chr10",63582766,13.8606853485107,2.22295427322388,16.2383851876604
"278","chr10",113027460,12.7844266891479,1.95156729221344,14.7745798073808
"285","chr10",77283002,14.2975397109985,1.067347407341,14.4915344428702
"294","chr10",61606021,11.8104944229126,2.44945645332336,14.4769966176366
"295","chr10",64750899,14.1161775588989,0.941030263900757,13.9352688965917
"301","chr10",106609232,13.0912055969238,2.66225051879883,16.0056631158449
"309","chr10",90733793,13.5392875671387,1.84674382209778,15.3651143740454
"313","chr10",127738206,13.5392875671387,1.99678432941437,15.5976170883935
"321","chr10",128410019,14.8334226608276,1.82561707496643,16.6250025975382
"323","chr10",14450271,12.2163057327271,2.73881363868713,15.2151546523783
"331","chr10",18563125,13.0474605560303,1.69904279708862,14.6251734547121
"333","chr10",3333055,12.9481954574585,1.52164006233215,14.1976763180488
"334","chr10",85154380,13.7911500930786,1.82061660289764,15.5745661688832
"335","chr10",87025029,13.561240196228,1.45325291156769,14.6738509835915
"339","chr10",70279543,15.1173830032349,0.989680409431458,15.0865076560493
"343","chr10",94408852,13.9197397232056,1.43086004257202,14.9861299702649
"344","chr10",19240177,14.4895277023315,2.25310111045837,16.9073217540223
"348","chr10",25681433,13.3616342544556,2.78204822540283,16.4071020852646
"352","chr10",122553283,14.4170179367065,1.96929812431335,16.4340912969025
"358","chr10",27133312,12.1003904342651,2.32011747360229,14.6054251179085
"365","chr10",81564920,14.5000734329224,0.931283354759216,14.2881748073553
"367","chr10",77627695,14.065845489502,1.75942444801331,15.7475011533081
"369","chr10",118592820,13.534125328064,1.94017863273621,15.5068580438151
"372","chr10",4405063,14.859806060791,1.79874610900879,16.607250467853
"376","chr10",68506424,15.0433788299561,1.18263828754425,15.5426719728297
"377","chr10",5480238,16.8140602111816,1.13648176193237,17.1948594387965
"380","chr10",61980612,14.2274179458618,1.46408128738403,15.3621244425624
"381","chr10",75897500,14.8724746704102,2.05032420158386,17.0095607325537
"383","chr10",71480126,12.2941064834595,2.40819954872131,14.9100484362217
"392","chr10",9053554,14.0105075836182,1.09150052070618,14.2711059619047
"394","chr10",23815344,13.5491065979004,3.02286291122437,16.8416703245617
"396","chr10",61492244,14.4578819274902,0.671965479850769,13.2745986378438
"398","chr10",42697177,11.8849334716797,2.38713955879211,14.4747315202169
"403","chr10",66814004,12.489294052124,1.53275263309479,13.7604330149759
"414","chr10",89462074,11.8705501556396,2.69929552078247,14.826139246804
"415","chr10",79695395,14.0355768203735,1.02545845508575,14.1104041758133
"417","chr10",102449647,14.9777822494507,1.83030736446381,16.7769993391962
"426","chr10",86972120,15.6191110610962,2.4405152797699,18.2747285304255
"436","chr10",61838922,14.3625116348267,1.04569697380066,14.4955102771092
"438","chr10",5317793,14.1922836303711,0.998183965682983,14.1868733783783
"440","chr10",120064612,13.6910018920898,2.19375705718994,16.0293487561171
"447","chr10",127479263,13.1610774993896,1.41065263748169,14.1851329878782
"469","chr10",103443218,14.2059736251831,2.34116649627686,16.7378900963028
"475","chr10",89206051,13.6594333648682,1.22617793083191,14.2663376693806
"499","chr10",62187056,14.730996131897,1.30935883522034,15.5332616822267
"509","chr10",24630858,13.858850479126,2.23992586135864,16.2591883243153
"511","chr10",46057550,12.7891311645508,1.52187991142273,14.0390811524743
"521","chr10",36546819,13.2387523651123,1.05445909500122,13.396587428978
"523","chr10",79793527,12.4690408706665,1.90185940265656,14.3823993096952
"524","chr10",18917191,15.7478361129761,1.35078573226929,16.6428147616897
"528","chr10",7470221,12.9967737197876,2.90532517433167,16.1712942164054
"529","chr10",102435292,12.9967737197876,1.75506663322449,14.6710480410136
"531","chr10",111226676,14.2185087203979,2.93516254425049,17.423441149563
"537","chr10",42031207,13.9698190689087,1.67718863487244,15.5089986114917
"542","chr10",23979485,13.3838596343994,2.30368328094482,15.8677360600754
"544","chr10",3958776,12.7349395751953,1.54918587207794,14.0378203807269
"545","chr10",127123665,12.7349395751953,2.07722735404968,14.9108268798728
"552","chr10",18760433,13.9497060775757,3.58636164665222,17.7510461415043
"578","chr10",62500395,15.4565391540527,1.65860021114349,16.9625462637888
"582","chr10",119803826,14.2462587356567,2.90513062477112,17.4205799131967
"594","chr10",78632499,14.9963369369507,0.966973662376404,14.8963757271097
"680","chr10",126833207,14.0057430267334,1.38453960418701,14.9741841362669
"681","chr10",86092084,13.1314210891724,1.30524444580078,13.9243190302292
"691","chr10",126919246,11.1800889968872,2.72763967514038,14.1667695851561
"695","chr10",67192565,13.3554563522339,1.67102718353271,14.8836812352421
"747","chr10",130228416,13.6298942565918,1.45504081249237,14.7461646476238
"749","chr10",80446349,13.2166109085083,4.23567676544189,17.5132470946761
"759","chr10",81289460,14.1939792633057,2.20141553878784,16.5426989271153
"760","chr10",67998371,13.7246866226196,1.16746759414673,14.1855513169543
"766","chr10",39171944,13.5821132659912,1.00463128089905,13.5958662272203
"770","chr10",62275405,13.7115211486816,1.60008919239044,15.1106301091772
"780","chr10",127569639,12.6791105270386,4.21794843673706,16.963262698842
"782","chr10",117455662,11.7318496704102,2.74187850952148,14.7340275274737
"790","chr10",46012109,13.5466203689575,1.62237441539764,14.9868977971981
"811","chr10",33986983,14.7991647720337,2.64757442474365,17.6971687185878
"812","chr10",82909469,14.7991647720337,4.93355131149292,19.5497573202441
"821","chr10",81395330,12.8080444335938,2.30536246299744,15.2940896397773
"822","chr10",91297995,14.2990417480469,1.59617054462433,15.6908523835544
"827","chr10",26753255,12.8073177337646,1.706711769104,14.3984352169278
"829","chr10",6728659,13.746150970459,1.6044590473175,15.1533775616861
"847","chr10",127115213,13.478536605835,1.77298414707184,15.1830435252376
"850","chr10",60408070,14.0493288040161,1.77349185943604,15.7546879391241
"852","chr10",8323393,11.64794921875,2.45392680168152,14.3198785964616
"870","chr10",31742599,12.9549789428711,1.2729480266571,13.6733023459531
"882","chr10",87854602,11.472752571106,3.36776208877563,15.0869042964236
"913","chr10",70318846,13.0008945465088,4.51880025863647,17.4901173016657
"927","chr10",86473811,13.2403993606567,1.70233106613159,14.8238672142537
"1029","chr10",127576489,12.7117519378662,1.79363942146301,14.4507341026156
"1033","chr10",76791668,12.3993988037109,1.49627506732941,13.5988454825181
"1035","chr10",67425577,13.333194732666,1.00215339660645,13.3395973224953
"1037","chr10",78756184,13.333194732666,1.45511209964752,14.4496109461146
"1038","chr10",120861358,13.333194732666,2.11472487449646,15.5623328973802
"1042","chr10",83521171,14.418342590332,1.38097870349884,15.3791186959606
"1050","chr10",39240017,11.3585662841797,1.98625004291534,13.4011515944619
"1068","chr10",116444564,14.0557680130005,1.09693777561188,14.3311566270884
"1080","chr10",85221085,12.8525094985962,1.88250601291656,14.7354242974312
"1102","chr10",23087029,12.9110994338989,1.46160101890564,14.0407593124018
"1113","chr10",59940828,14.0953235626221,0.78181517124176,13.3627089392781
"1143","chr10",79883839,12.8368844985962,2.33658003807068,15.3629642382815
"1144","chr10",125725430,13.0443143844604,1.59559082984924,14.4350438031908
"1160","chr10",49481641,12.8199672698975,1.79415786266327,14.5598096366119
"1174","chr10",75744202,13.4795799255371,1.93455505371094,15.4436729133762
"1185","chr10",20314972,12.1959295272827,2.11525130271912,14.425808541616
"1197","chr10",66909382,14.0184869766235,1.20249891281128,14.5673500609009
"1200","chr10",79768587,13.6583337783813,2.46449208259583,16.3430506376443
"1203","chr10",69186403,11.0609283447266,3.27625584602356,14.5930871777143
"1234","chr10",61745324,12.3701705932617,1.46088099479675,13.4983638301051
"1248","chr10",9575752,13.8895416259766,1.23002409934998,14.5057675934089
"1261","chr10",73106087,12.1557464599609,2.65223836898804,15.0589890850531
"1263","chr10",21465516,13.3349380493164,1.7727564573288,15.0390627030259
"1273","chr10",83225211,10.5593061447144,3.37344527244568,14.1784764739939
"1292","chr10",120234175,13.7371368408203,1.44751632213593,14.8379750937114
"1301","chr10",128374559,12.6354036331177,1.62452280521393,14.0796199474689
"1323","chr10",79580978,12.2117214202881,3.11473488807678,15.5933991375525
"1342","chr10",69371643,12.4364738464355,1.5518319606781,13.744434246419
"1371","chr10",6885629,14.1156406402588,2.34343647956848,16.6504416656957
"1408","chr10",19015462,12.9568147659302,3.52566933631897,16.7073529960531
"1411","chr10",79595419,12.1996297836304,1.69279539585114,13.7663780624132
"1455","chr10",71326987,12.7581396102905,2.08171463012695,14.9404497817331
"1493","chr10",81016832,12.0004186630249,2.3089816570282,14.4911329435977
"1495","chr10",18836079,14.6125020980835,0.931159317493439,14.4002070136928
"1505","chr10",43954088,13.9269113540649,1.22128629684448,14.5219178494892
"1521","chr10",81198392,9.84871864318848,4.69951343536377,14.4546553564374
"1570","chr10",13016715,12.7747220993042,2.41537833213806,15.3995235822744
"1583","chr10",77604243,11.4564523696899,2.07228493690491,13.6252492641154
"1609","chr10",60305454,12.725848197937,1.51966166496277,13.9714566345972
"1624","chr10",116199214,12.3795375823975,2.00123500823975,14.4444940027974
"1630","chr10",127177850,12.7252883911133,3.39275479316711,16.3614472837839
"1635","chr10",40179323,12.2758626937866,1.48273646831512,13.4482552566288
"1639","chr10",79692350,11.6203727722168,3.00093483924866,14.8912664045822
"1708","chr10",122804086,12.0560169219971,2.45283699035645,14.7266241367417
"1771","chr10",60148273,13.8576822280884,1.6429488658905,15.335468754637
"1793","chr10",111977762,10.8388423919678,2.33523774147034,13.3632117563231
"1819","chr10",77984863,11.0564060211182,2.51173233985901,13.7976366346921
"1883","chr10",22018803,13.202486038208,2.03935885429382,15.3236110085207
"1943","chr10",22579609,12.8374881744385,2.27304863929749,15.2815178750991
"1991","chr10",84515635,12.3547468185425,4.64077377319336,16.9232461252215
"2137","chr10",88379118,12.2394704818726,2.5368824005127,15.0103561833051
"2260","chr10",19297849,11.979266166687,2.15026688575745,14.2580135828476
"2336","chr11",69883250,14.6155519485474,1.11736106872559,14.9458479360901
"2337","chr11",81996352,15.4745073318481,1.17699098587036,15.9595533620624
"2343","chr11",12579364,12.6161708831787,1.43815207481384,13.6976913748581
"2346","chr11",117366612,14.5853052139282,1.70567274093628,16.1746101128933
"2347","chr11",23979511,15.6805744171143,1.16360127925873,16.1315656068814
"2348","chr11",115322482,15.388955116272,2.36863255500793,17.9555874296631
"2351","chr11",45945024,16.6819229125977,2.05139303207397,18.8205601895544
"2352","chr11",72002628,13.3101844787598,1.73903715610504,14.9571491950155
"2357","chr11",49189923,13.6102666854858,0.920636296272278,13.3641432455401
"2360","chr11",57820156,17.1004085540771,1.40990018844604,18.122875965116
"2362","chr11",105241229,13.4844779968262,2.43761587142944,16.136557246593
"2363","chr11",103332736,12.7772665023804,2.34008169174194,15.3078034832047
"2364","chr11",116625773,15.7187423706055,0.903546810150146,15.4168487441684
"2366","chr11",68485431,13.0126247406006,1.37617349624634,13.9630260245782
"2367","chr11",83440498,15.4800214767456,1.25327956676483,16.1519964023764
"2368","chr11",116319162,13.9514055252075,1.26243722438812,14.645050175295
"2369","chr11",100362608,14.0086517333984,2.62128114700317,16.8769485389998
"2370","chr11",61950810,14.1284255981445,2.19430112838745,16.4675105570246
"2373","chr11",55204250,14.4081954956055,1.52923595905304,15.6724975847903
"2375","chr11",95117133,16.6872234344482,1.22431802749634,17.2896095407128
"2378","chr11",5996135,14.4556293487549,1.00323331356049,14.4652376253591
"2380","chr11",33725792,16.7097148895264,1.85695767402649,18.5519583070834
"2383","chr11",89424547,14.8586483001709,1.80574977397919,16.6176594264261
"2384","chr11",82613688,14.598051071167,0.777626216411591,13.8494457843941
"2385","chr11",95827687,14.598051071167,1.87932693958282,16.4759351521585
"2386","chr11",121176456,13.7987699508667,1.31033217906952,14.6032472971288
"2387","chr11",52421574,14.7339658737183,2.33823895454407,17.2621580736989
"2388","chr11",104311824,14.8705577850342,1.31256031990051,15.6800921093313
"2397","chr11",105964905,12.1796770095825,1.53691613674164,13.4588901169167
"2398","chr11",117870828,15.3148832321167,1.27593469619751,16.0401819905117
"2426","chr11",70414154,12.8263854980469,3.40219855308533,16.4708178580205
"2428","chr11",50940085,14.5345277786255,1.91661012172699,16.470882352154
"2434","chr11",117401777,14.9568195343018,0.721543610095978,13.9854174802005
"2436","chr11",35703681,15.2024297714233,2.32272386550903,17.7108062880265
"2437","chr11",102774020,11.5030078887939,2.0357141494751,13.6188086402397
"2440","chr11",109873541,13.1845808029175,1.80438876152039,14.9413477006885
"2441","chr11",97793339,12.0414915084839,3.83200311660767,16.040019863204
"2444","chr11",121475875,14.3864469528198,1.04771590232849,14.525186693693
"2445","chr11",95564027,14.6472024917603,1.46285140514374,15.7794076086688
"2448","chr11",51817949,16.7785873413086,1.44256138801575,17.8692195462052
"2449","chr11",79030667,16.7785873413086,2.03945279121399,18.8998494097362
"2451","chr11",76456418,15.9003782272339,3.26688408851624,19.4240106946741
"2452","chr11",50114519,15.39515209198,2.05089330673218,17.5330642082997
"2458","chr11",110537707,15.2710723876953,2.17074084281921,17.5780262786405
"2460","chr11",27264411,14.7656211853027,1.65094292163849,16.2578550392442
"2468","chr11",12811377,14.1046867370605,1.22278463840485,14.7033426696507
"2470","chr11",94785405,16.746955871582,1.40657043457031,17.7623854987369
"2471","chr11",94832766,16.746955871582,2.3459050655365,19.2848906535163
"2474","chr11",50757889,14.9464883804321,1.35010290145874,15.8399620334503
"2475","chr11",66122183,14.3865575790405,1.11332666873932,14.7060871925379
"2478","chr11",78019864,16.4197196960449,2.89601016044617,19.5846818030973
"2480","chr11",113499075,15.9210453033447,0.858719050884247,15.467691618884
"2481","chr11",68566587,14.4264259338379,1.47937762737274,15.5920682964042
"2483","chr11",44586208,12.7239971160889,2.40660285949707,15.3379649615357
"2485","chr11",52517522,12.2840623855591,1.48697483539581,13.464950927735
"2488","chr11",100627085,13.8640613555908,1.11059212684631,14.1762712453301
"2494","chr11",115483931,15.8871650695801,2.80703711509705,18.9592486026494
"2499","chr11",58352824,13.8489046096802,1.4349889755249,14.923871426831
"2501","chr11",95022774,13.8489046096802,2.20217847824097,16.1986556366672
"2502","chr11",107808705,13.8489046096802,2.53557324409485,16.6182539188643
"2503","chr11",112067356,13.8489046096802,0.841796159744263,13.3363079045819
"2504","chr11",80906637,15.6835336685181,1.09917509555817,15.9649868859929
"2507","chr11",119203612,15.2503118515015,1.47990226745605,16.4170095828557
"2509","chr11",100893620,14.0845813751221,1.46858704090118,15.228433923266
"2510","chr11",7210519,14.3694496154785,0.79608541727066,13.6906734336961
"2512","chr11",95047145,14.8929634094238,2.87901663780212,18.0404085265222
"2515","chr11",114745286,14.2200269699097,2.59018659591675,17.0528049818148
"2517","chr11",82915158,15.0683794021606,2.95751047134399,18.2958882890719
"2518","chr11",88252405,13.2092256546021,1.09225881099701,13.4718911236959
"2519","chr11",106418775,15.1293096542358,2.42905569076538,17.7709180969395
"2520","chr11",115202504,13.9080686569214,1.77214527130127,15.6111669546015
"2521","chr11",120111199,14.5017328262329,0.951139330863953,14.352628326339
"2523","chr11",104510808,13.9025869369507,1.0255526304245,13.9776876291241
"2524","chr11",111537839,14.4344825744629,1.94401609897614,16.413096579353
"2527","chr11",97432146,14.5281257629395,1.82856094837189,16.3245014695713
"2529","chr11",116586960,15.6401319503784,1.59455490112305,17.0289282964183
"2531","chr11",48771868,14.2800073623657,4.07557106018066,18.4619541904447
"2539","chr11",85184310,14.6526851654053,1.84410059452057,16.474248752659
"2541","chr11",101127255,12.941032409668,3.07106518745422,16.2806839033295
"2543","chr11",118460452,12.941032409668,2.51822519302368,15.6899472526321
"2544","chr11",52335438,13.0472774505615,3.25504636764526,16.5601050062217
"2550","chr11",11812142,13.2115335464478,1.18913745880127,13.7271389540553
"2552","chr11",95533940,17.2343139648438,0.993474006652832,17.2148260034306
"2554","chr11",68904918,12.6314153671265,2.00896859169006,14.7078518356546
"2561","chr11",50559253,14.7568321228027,0.865938365459442,14.3283970865654
"2564","chr11",57788101,15.742506980896,0.634447395801544,14.3882188311578
"2565","chr11",90698016,13.5652446746826,2.31868243217468,16.0684377908782
"2568","chr11",75913432,16.4628887176514,0.470219522714615,14.2169904446296
"2569","chr11",104347130,15.2433605194092,0.743983805179596,14.3631166026291
"2570","chr11",54703472,13.1948156356812,2.77350544929504,16.2311296787963
"2571","chr11",119503867,15.0364675521851,1.32615900039673,15.8766805257672
"2573","chr11",72570771,16.6676006317139,1.82273578643799,18.454479259158
"2574","chr11",19823618,14.6213989257812,2.36690759658813,17.1858628464376
"2578","chr11",89084784,15.2424488067627,1.24906241893768,15.9043914120785
"2582","chr11",116226608,16.098087310791,1.90312969684601,18.0134331243854
"2588","chr11",57951181,15.839955329895,1.7790699005127,17.5546614004854
"2593","chr11",118998779,13.2099523544312,4.21514129638672,17.4921229707463
"2595","chr11",98455657,14.1732635498047,1.30222868919373,14.9592764669046
"2596","chr11",49872054,15.9654111862183,0.668023288249969,14.7646146509027
"2597","chr11",4094549,14.7033758163452,1.59383964538574,16.0908367416463
"2599","chr11",89165446,16.8329086303711,1.03788661956787,16.9435925931707
"2600","chr11",66914433,13.7738418579102,1.05461955070496,13.9321298101816
"2602","chr11",57475338,14.5665073394775,1.23434448242188,15.1931695900714
"2609","chr11",67652517,14.679723739624,1.20599257946014,15.2372218860729
"2610","chr11",107267708,14.0333127975464,0.820904612541199,13.4459149589555
"2615","chr11",17280048,15.5325660705566,1.03768682479858,15.6426770066981
"2617","chr11",55389934,13.8227958679199,2.20977544784546,16.1827972442353
"2618","chr11",95686210,14.488639831543,1.60942101478577,15.9050572247466
"2621","chr11",72016706,15.0950222015381,0.733523070812225,14.1726310839174
"2623","chr11",79224614,16.6415615081787,0.586930811405182,15.0555642457059
"2624","chr11",98975540,15.0933618545532,1.64993345737457,16.5837752091815
"2629","chr11",103987592,15.7481565475464,2.04794859886169,17.8817919525
"2632","chr11",98700063,16.2603397369385,1.33026933670044,17.1097637451655
"2640","chr11",49825081,13.0780582427979,3.30550003051758,16.636667303782
"2641","chr11",79019487,14.9028177261353,1.19740915298462,15.439055788168
"2645","chr11",78355662,16.6796932220459,1.32178807258606,17.5100798158573
"2647","chr11",114205395,14.7824506759644,1.34846830368042,15.6723184936316
"2650","chr11",113865786,16.2410449981689,1.16873180866241,16.7051310559259
"2653","chr11",116918790,15.9303979873657,1.76316678524017,17.6183779102077
"2654","chr11",4843638,12.9043607711792,1.96462452411652,14.9143619276498
"2656","chr11",6655086,13.7733249664307,2.48387241363525,16.4813565640514
"2658","chr11",62127873,15.1860628128052,2.30290675163269,17.6689357622011
"2660","chr11",53470082,14.4986925125122,1.42687129974365,15.5567738556506
"2664","chr11",101658966,13.6948738098145,2.17730617523193,16.0108162920793
"2670","chr11",69272485,15.5677795410156,0.987176239490509,15.529363389542
"2674","chr11",4900621,13.6428117752075,2.97750663757324,16.8903771655967
"2676","chr11",32110088,13.6428117752075,0.91728150844574,13.3858223709964
"2678","chr11",78515737,13.6428117752075,2.61897993087769,16.508494413806
"2679","chr11",86878485,13.6428117752075,1.00711786746979,13.6639227196981
"2681","chr11",115841217,13.6428117752075,1.46813702583313,14.7857521177526
"2684","chr11",4258972,13.2035312652588,1.82460474967957,14.9934602681823
"2685","chr11",114812803,15.1172590255737,1.40281045436859,16.1247214840803
"2687","chr11",62613833,14.9665946960449,3.03615593910217,18.2722186617329
"2688","chr11",113703905,16.2889995574951,1.47661221027374,17.4490727991042
"2692","chr11",77673595,12.35498046875,2.36626124382019,14.9186314719762
"2696","chr11",54930498,15.1848888397217,1.79347610473633,16.9235999764961
"2698","chr11",3387246,14.2552404403687,1.76880466938019,15.9527226502977
"2709","chr11",119305508,14.9371967315674,0.585090637207031,13.3418528928963
"2710","chr11",95876483,15.2543611526489,1.59857594966888,16.6506538796122
"2711","chr11",81375034,15.4093313217163,2.29563093185425,17.8827855624747
"2712","chr11",78960051,14.8864850997925,1.0085631608963,14.9118644246172
"2713","chr11",51820132,14.1007671356201,1.10313177108765,14.3929153801638
"2714","chr11",3472676,13.860689163208,1.12982583045959,14.2240052259328
"2715","chr11",98859277,15.1215505599976,5.77060127258301,20.3386042822963
"2717","chr11",69729254,14.7172899246216,2.10561633110046,16.9335802274696
"2726","chr11",80087059,13.8096323013306,3.43760132789612,17.4848771375968
"2736","chr11",100646458,13.5938386917114,1.02748644351959,13.6745465862074
"2744","chr11",59098530,13.0541477203369,1.92942106723785,15.0103312022006
"2750","chr11",99379760,14.9276161193848,1.36483907699585,15.8534012869443
"2752","chr11",109244718,15.1684226989746,0.89615797996521,14.8420888210938
"2753","chr11",75782124,12.0120687484741,1.96948969364166,14.0294316377615
"2754","chr11",118508070,14.178915977478,2.88675427436829,17.3343498664891
"2756","chr11",3714644,13.2038440704346,1.03595077991486,13.3089712478699
"2757","chr11",76525117,13.7636861801147,1.438227891922,14.8453635814887
"2760","chr11",43783924,15.8648519515991,0.980271339416504,15.8055435686971
"2766","chr11",114736986,13.9664039611816,2.28926014900208,16.4315865381144
"2775","chr11",78856424,15.9882926940918,1.08777141571045,16.2387046325128
"2777","chr11",40536421,12.3311042785645,2.11451458930969,14.5599464545171
"2787","chr11",68966037,14.0697393417358,1.58681976795197,15.4440618850573
"2799","chr11",66613300,11.2747058868408,1.96781086921692,13.2895305193587
"2800","chr11",33928865,14.8012275695801,0.635479927062988,13.4517795078051
"2802","chr11",80287338,14.5582666397095,1.16936767101288,15.0239716307554
"2804","chr11",4754225,13.5392875671387,3.37079644203186,17.1561198675655
"2808","chr11",59094421,13.5392875671387,1.86585128307343,15.3957522070607
"2820","chr11",119272689,13.5392875671387,2.66218662261963,16.4536736479422
"2822","chr11",85843402,14.0226621627808,1.17775011062622,14.5096272983741
"2828","chr11",35119592,15.3905935287476,1.2350150346756,16.0188722846303
"2833","chr11",20133105,12.9887685775757,1.73216688632965,14.623951184952
"2838","chr11",83556532,13.4367036819458,1.77606213092804,15.1463733811329
"2842","chr11",103763929,13.8906888961792,2.70558476448059,16.8532049262443
